HOMOCYSMET-RXN AFE_2740
CYTOCHROME-C-OXIDASE-RXN AFE_3183
RXN0-948 AFE_0384
3-DEHYDROQUINATE-DEHYDRATASE-RXN AFE_2829
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN AFE_1314
DNA-DIRECTED-DNA-POLYMERASE-RXN AFE_1623
3PGAREARR-RXN AFE_2512
TRANS-RXN-8 AFE_0578
GSAAMINOTRANS-RXN AFE_3030
RXN0-5268 AFE_2407
MERCURY-II-REDUCTASE-RXN AFE_0621
2.1.1.63-RXN AFE_0310
TRANS-RXN9AR-16522 AFE_1100
NACGLCTRANS-RXN AFE_2820
RXN-11029 AFE_2820
RXN-8976 AFE_2820
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN AFE_0059
RXN0-302 AFE_2661
PMPOXI-RXN AFE_2411
PNPOXI-RXN AFE_2411
PSERTRANSAMPYR-RXN AFE_2149
PSERTRANSAM-RXN AFE_2149
GCVP-RXN AFE_2065
1.6.99.5-RXN AFE_0479
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0479
HISTAMINOTRANS-RXN AFE_2146
TRANS-RXN9AR-16510 AFE_2920
P-PANTOCYSDECARB-RXN AFE_2675
P-PANTOCYSLIG-RXN AFE_2675
PROTOHEMEFERROCHELAT-RXN AFE_2847
1.10.2.2-RXN AFE_0376
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN AFE_0716
1.6.99.5-RXN AFE_0484
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0484
TRANS-RXN9AR-16490 AFE_0682
TRANS-RXN9AR-16468 AFE_2321
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN AFE_1630
RXN-9789 AFE_2387
RXN-9788 AFE_2387
RXN0-1461 AFE_0835
GLURS-RXN AFE_2119
1.6.99.5-RXN AFE_0478
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0478
2-ISOPROPYLMALATESYN-RXN AFE_0506
2.1.1.72-RXN AFE_0315
3.6.3.4-RXN AFE_0329
NICONUCADENYLYLTRAN-RXN AFE_0161
GLYCINE--TRNA-LIGASE-RXN AFE_0521
GLUTSEMIALDEHYDROG-RXN AFE_2583
R17-RXN AFE_2761
CYTOCHROME-C-OXIDASE-RXN AFE_3184
7KAPSYN-RXN AFE_2785
HISTCYCLOHYD-RXN AFE_0063
HISTPRATPHYD-RXN AFE_0063
RXN0-5419 AFE_2832
RXN0-5359 AFE_1373
1.5.1.15-RXN AFE_1209
METHENYLTHFCYCLOHYDRO-RXN AFE_1209
METHYLENETHFDEHYDROG-NADP-RXN AFE_1209
PHENYLALANINE--TRNA-LIGASE-RXN AFE_0494
PRPPSYN-RXN AFE_0341
PPPGPPHYDRO-RXN AFE_1643
EXOPOLYPHOSPHATASE-RXN AFE_1643
UGD-RXN AFE_1676
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN AFE_1538
HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN AFE_1538
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN AFE_1538
3.4.21.89-RXN AFE_1683
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN AFE_2393
ARGDECARBOX-RXN AFE_1614
2.7.7.13-RXN AFE_3040
MANNPISOM-RXN AFE_3040
3.4.11.1-RXN AFE_0896
2.1.1.77-RXN AFE_0960
RXN-10857 AFE_2899
H2NEOPTERINALDOL-RXN AFE_2899
ERYTHRON4PDEHYDROG-RXN AFE_2148
PGLYCDEHYDROG-RXN AFE_2148
URACIL-PRIBOSYLTRANS-RXN AFE_0050
DIHYDROPICRED-RXN AFE_0442
F16ALDOLASE-RXN AFE_1283
1.10.2.2-RXN AFE_0006
GLUTAMINESYN-RXN AFE_2571
DIHYDROXYISOVALDEHYDRAT-RXN AFE_1412
DIHYDROXYMETVALDEHYDRAT-RXN AFE_1412
3.4.21.92-RXN AFE_2134
TRANS-RXN9AR-16519 AFE_2983
PEPTIDYLPROLYL-ISOMERASE-RXN AFE_0075
2.1.1.79-RXN AFE_0180
RXN-7421 AFE_0180
RXN1G-3256 AFE_0180
ADCLY-RXN AFE_1176
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN AFE_2644
DUTP-PYROP-RXN AFE_2676
RXN0-4301 AFE_2326
CARBPSYN-RXN AFE_2400
GPH-RXN AFE_1261
2.4.1.109-RXN AFE_0184
RXN-8930 AFE_2258
GST-RXN AFE_0508
GSHTRAN-RXN AFE_0508
GPH-RXN AFE_3087
DGTPTRIPHYDRO-RXN AFE_2309
RXN-9157 AFE_2255
GAMMA-GLUTAMYLTRANSFERASE-RXN AFE_2255
RXN-6601 AFE_2255
RXN-7968 AFE_2844
SHIKIMATE-5-DEHYDROGENASE-RXN AFE_2844
TRANS-RXN9AR-16556 AFE_1591
2.7.1.148-RXN AFE_0342
1.6.99.5-RXN AFE_0482
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0482
RXN0-5256 AFE_2107
BIOTINLIG-RXN AFE_2584
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN AFE_1394
RXN-7669 AFE_0272
GLYCOGEN-BRANCH-RXN AFE_0272
RXN-7710 AFE_0272
HYPOXANPRIBOSYLTRAN-RXN AFE_2668
GUANPRIBOSYLTRAN-RXN AFE_2668
DNA-DIRECTED-DNA-POLYMERASE-RXN AFE_1171
PENICILLIN-AMIDASE-RXN AFE_2234
NADH-DEHYDROG-A-RXN AFE_0481
1.6.99.5-RXN AFE_0481
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0481
GCVT-RXN AFE_2068
2.4.1.129-RXN AFE_2814
PHOSPHORIBULOKINASE-RXN AFE_2502
1.6.99.5-RXN AFE_0480
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0480
ATPPHOSPHORIBOSYLTRANS-RXN AFE_1198
RXN0-901 AFE_2265
H2PTEROATESYNTH-RXN AFE_0470
3-SULFINOALANINE-AMINOTRANSFERASE-RXN AFE_1072
ASPAMINOTRANS-RXN AFE_1072
TYROSINE-AMINOTRANSFERASE-RXN AFE_1072
RXN-10814 AFE_1072
PEPTIDYLPROLYL-ISOMERASE-RXN AFE_2846
TRANS-RXN9AR-16547 AFE_1240
UDPNACETYLGLUCOSAMACYLTRANS-RXN AFE_1628
UDPGLUCEPIM-RXN AFE_1739
SERINE-O-ACETTRAN-RXN AFE_1579
ADENYLOSUCCINATE-SYNTHASE-RXN AFE_1197
TRANS-RXN9AR-16468 AFE_2598
GLYCOLATEDEHYDRO-RXN AFE_1422
ACETYL-COA-CARBOXYLTRANSFER-RXN AFE_2830
MALATE-DEH-RXN AFE_0110
TRANS-RXN9AR-16481 AFE_0022
6PFRUCTPHOS-RXN AFE_1278
RXN0-4341 AFE_1675
RXN0-4342 AFE_1675
RXN-8850 AFE_2308
RXN-9383 AFE_0883
PHOSPHOKETOLASE-RXN AFE_1041
1.10.2.2-RXN AFE_0374
6PGLUCONDEHYDROG-RXN AFE_1070
2.8.1.6-RXN AFE_2769
GLYRIBONUCSYN-RXN AFE_0837
GLUTATHIONE-SYN-RXN AFE_0047
RXN-8991 AFE_2413
3-ISOPROPYLMALISOM-RXN AFE_2413
RXN0-5180 AFE_1636
RXN-8998 AFE_1636
